ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,3552.85,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,3793.23,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Benin,Average monthly earnings of employees by sex and economic activity,HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,0.17,,Currency: BEN - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,Average monthly earnings of employees by sex and economic activity,LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,192.68,,Currency: BFA - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Bangladesh,Average monthly earnings of employees by sex and economic activity,LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,164.59,,Currency: BGD - Taka (BDT) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Bangladesh,Average monthly earnings of employees by sex and economic activity,LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,146.84,,Currency: BGD - Taka (BDT),Repository: ILO-STATISTICS - Micro data processing
Bulgaria,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,400.25,,Currency: BGR - Lev (BGN),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Bulgaria,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,439.55,,Currency: BGR - Lev (BGN),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Bulgaria,Average monthly earnings of employees by sex and economic activity,"ES - Annual Enterprises Survey on Number of employees, Wages and salaries and Other labour costs",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,438.61,,Currency: BGR - Lev (BGN) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies
Bulgaria,Average monthly earnings of employees by sex and economic activity,"ES - Annual Enterprises Survey on Number of employees, Wages and salaries and Other labour costs",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,487.75,,Currency: BGR - Lev (BGN) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies
